Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,Source
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3376,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,06h 30m,23:15,4.8,INR 436,33 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2561,INDRA(A.C. Seater),17:15,05h 30m,22:45,3.3,INR 528,38 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3358,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,07h 50m,01:10,3.9,INR 436,29 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2674,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,07h 50m,01:20,2.5,INR 436,33 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3366,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:55,07h 50m,01:45,2.4,INR 436,33 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:20,06h 25m,05:45,4.6,398,30 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,4.6,349,29 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:30,07h 30m,06:00,4.5,332,22 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),23:00,05h 35m,04:35,4.2,INR 399,19 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:59,06h 31m,06:30,4.6,349,29 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:30,07h 15m,06:45,4.6,INR 589,25 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 15m,05:20,4.4,INR 319,27 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdYolo Bus,A/C Seater / Sleeper (2+1),22:46,06h 38m,05:24,4.2,INR 450,26 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,A/C Sleeper (2+1),23:35,05h 40m,05:15,4.5,INR 569,20 Seats available,Andhra Pradesh
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),23:03,06h 27m,05:30,4.7,337,14 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),16:30,05h 55m,22:25,3.9,INR 720,29 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:00,05h 50m,22:50,3.4,INR 720,35 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:45,05h 52m,23:37,3.9,INR 720,39 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),18:30,06h 55m,01:25,4.0,INR 720,47 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,07h 42m,02:42,2.5,INR 469,28 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:20,07h 50m,04:10,4.4,INR 469,28 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),20:30,04h 50m,01:20,4.0,INR 670,35 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,07h 41m,04:41,4.3,INR 469,30 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,06h 40m,03:40,4.3,INR 469,17 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:40,07h 40m,05:20,3.6,INR 469,12 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 40568,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:42,08h 18m,06:00,3.9,INR 469,31 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35179,VENNELA (A.C. SLEEPER),21:45,04h 50m,02:35,4.7,INR 781,20 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,05h 05m,02:50,4.4,INR 469,29 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:50,06h 20m,04:10,4.7,INR 469,31 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 38201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:52,06h 08m,04:00,4.2,INR 469,13 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:00,05h 42m,03:42,4.1,INR 720,43 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3908,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,06h 25m,04:25,3.8,INR 469,21 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4048,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:00,06h 20m,04:20,3.7,INR 469,23 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4320,INDRA(A.C. Seater),22:00,06h 25m,04:25,3.3,INR 567,18 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4792,INDRA(A.C. Seater),22:05,07h 05m,05:10,3.4,INR 567,23 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:15,06h 25m,04:40,4.0,INR 720,41 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),22:15,07h 15m,05:30,4.3,INR 607,9 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35265,VENNELA (A.C. SLEEPER),22:15,04h 50m,03:05,3.8,INR 781,15 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3509,STAR LINER(NON-AC SLEEPER 2+1),22:15,05h 44m,03:59,4.1,INR 607,19 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3635,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:20,06h 35m,04:55,3.5,INR 469,19 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3943,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,07h 00m,05:25,3.8,INR 469,13 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 35063,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:25,07h 45m,06:10,4.1,INR 469,28 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),22:30,05h 40m,04:10,4.1,INR 720,33 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),22:30,05h 55m,04:25,4.3,INR 607,13 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 95660,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:40,06h 35m,05:15,4.0,INR 446,10 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),22:45,05h 31m,04:16,4.6,INR 607,12 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3838,VENNELA (A.C. SLEEPER),22:45,05h 45m,04:30,4.6,INR 839,13 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4727,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:45,06h 49m,05:34,4.0,INR 469,17 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3609,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:46,07h 54m,06:40,4.3,INR 469,24 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),22:55,06h 40m,05:35,3.7,INR 639,26 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3694,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,07h 20m,06:15,4.7,INR 469,18 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3961,INDRA(A.C. Seater),22:55,06h 30m,05:25,3.9,INR 567,35 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3968,INDRA(A.C. Seater),22:55,06h 10m,05:05,4.2,INR 567,22 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3888,VENNELA (A.C. SLEEPER),23:00,04h 35m,03:35,4.2,INR 781,16 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4893,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,06h 20m,05:20,4.1,INR 469,30 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3900,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:00,05h 20m,04:20,4.5,INR 469,16 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3278,VENNELA (A.C. SLEEPER),23:05,05h 45m,04:50,4.2,INR 839,16 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 4790,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),23:05,06h 15m,05:20,4.6,INR 720,37 Seats available,Andhra Pradesh
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,APSRTC - 3976,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:15,06h 35m,05:50,4.0,INR 469,2 Seats available,Andhra Pradesh
